Level,Code,Class title,Element Type Label English,Element Description English
2,RDS10105,Water and hydrology,All examples,physical and chemical conditions of water for urban and industrial use 
2,RDS10105,Water and hydrology,All examples,physical and chemical conditions of water in coastal and estuarine environments 
2,RDS10105,Water and hydrology,All examples,"physical and chemical conditions of water in fresh, ground and surface water environments (except urban and industrial use) "
2,RDS10105,Water and hydrology,All examples,physical and chemical conditions of water in marine environments 
2,RDS10105,Water and hydrology,Exclusion(s),changes in the physical and chemical conditions of water due to climate change  (See RDS10104 Climate and climate change)
2,RDS10105,Water and hydrology,Exclusion(s),water services and management of wastewater and stormwater  (See RDS10202 Water provision and waste services)
2,RDS10199,"Exploration and exploitation of the earth, n.e.c.",Illustrative example(s),modelling and mathematical simulation of natural processes 
2,RDS10199,"Exploration and exploitation of the earth, n.e.c.",All examples,advancement of knowledge in the exploration and exploitation of the earth 
2,RDS10199,"Exploration and exploitation of the earth, n.e.c.",All examples,modelling and mathematical simulation of natural processes 
1,RDS102,Environmental protection,Exclusion(s),conservation of energy and efficient energy use  (See RDS10506 Energy conservation and efficiency)
1,RDS102,Environmental protection,Exclusion(s),control and treatment of human diseases within the country's borders  (See RDS107 Health)
1,RDS102,Environmental protection,Exclusion(s),environmental ethics  (See RDS11007 Heritage (including Indigenous culture))
1,RDS102,Environmental protection,Exclusion(s),"rural, regional and urban construction planning issues, including environmental impact studies of new developments  (See RDS10401 Construction planning)"
1,RDS102,Environmental protection,Exclusion(s),the interaction of oceanic processes and climate  (See RDS10104 Climate and climate change)
2,RDS10201,Environmentally sustainable human activities,Illustrative example(s),environmentally sustainable animal production 
2,RDS10201,Environmentally sustainable human activities,Illustrative example(s),environmentally sustainable commercial services and tourism 
2,RDS10201,Environmentally sustainable human activities,Illustrative example(s),environmentally sustainable construction 
2,RDS10201,Environmentally sustainable human activities,Illustrative example(s),environmentally sustainable energy activities 
2,RDS10201,Environmentally sustainable human activities,Illustrative example(s),environmentally sustainable information and communication services 
2,RDS10201,Environmentally sustainable human activities,Illustrative example(s),environmentally sustainable manufacturing activities 
2,RDS10201,Environmentally sustainable human activities,Illustrative example(s),environmentally sustainable mineral resource activities 
2,RDS10201,Environmentally sustainable human activities,Illustrative example(s),environmentally sustainable plant production 
2,RDS10201,Environmentally sustainable human activities,Illustrative example(s),environmentally sustainable transport 
2,RDS10201,Environmentally sustainable human activities,All examples,environmentally sustainable animal production 
2,RDS10201,Environmentally sustainable human activities,All examples,environmentally sustainable commercial services and tourism 
2,RDS10201,Environmentally sustainable human activities,All examples,environmentally sustainable construction 
2,RDS10201,Environmentally sustainable human activities,All examples,environmentally sustainable energy activities 
2,RDS10201,Environmentally sustainable human activities,All examples,environmentally sustainable information and communication services 
2,RDS10201,Environmentally sustainable human activities,All examples,environmentally sustainable manufacturing activities 
2,RDS10201,Environmentally sustainable human activities,All examples,environmentally sustainable mineral resource activities 
2,RDS10201,Environmentally sustainable human activities,All examples,environmentally sustainable plant production 
2,RDS10201,Environmentally sustainable human activities,All examples,environmentally sustainable transport 
2,RDS10202,Water provision and waste services,Illustrative example(s),waste management services 
2,RDS10202,Water provision and waste services,Illustrative example(s),water recycling services (including sewage and greywater) 
2,RDS10202,Water provision and waste services,All examples,waste management services 
2,RDS10202,Water provision and waste services,All examples,water recycling services (including sewage and greywater) 
2,RDS10202,Water provision and waste services,Exclusion(s),"construction of dams, water mains and pumping stations  (See RDS10404 Construction processes)"
2,RDS10202,Water provision and waste services,Exclusion(s),provision of energy services and utilities  (See RDS10505 Energy storage and distribution)
2,RDS10202,Water provision and waste services,Exclusion(s),water management associated with land management  (See RDS10407 Land and water management)
2,RDS10203,Air quality,All examples,air quality 
2,RDS10204,"Control of pests, diseases and exotic species",Illustrative example(s),"control of pests, diseases and exotic species in agricultural environments "
2,RDS10204,"Control of pests, diseases and exotic species",Illustrative example(s),"control of pests, diseases and exotic species in aquatic environments "
2,RDS10204,"Control of pests, diseases and exotic species",Illustrative example(s),"control of pests, diseases and exotic species in forest and woodlands environments "
2,RDS10204,"Control of pests, diseases and exotic species",Illustrative example(s),"control of pests, diseases and exotic species in mountain and high country environments "
2,RDS10204,"Control of pests, diseases and exotic species",Illustrative example(s),"control of pests, diseases and exotic species in sparseland, permanent grassland and arid zone environments "
2,RDS10204,"Control of pests, diseases and exotic species",All examples,"control of pests, diseases and exotic species in agricultural environments "
2,RDS10204,"Control of pests, diseases and exotic species",All examples,"control of pests, diseases and exotic species in aquatic environments "
2,RDS10204,"Control of pests, diseases and exotic species",All examples,"control of pests, diseases and exotic species in forest and woodlands environments "
2,RDS10204,"Control of pests, diseases and exotic species",All examples,"control of pests, diseases and exotic species in mountain and high country environments "
2,RDS10204,"Control of pests, diseases and exotic species",All examples,"control of pests, diseases and exotic species in sparseland, permanent grassland and arid zone environments "
2,RDS10204,"Control of pests, diseases and exotic species",Exclusion(s),control and treatment of human diseases within the country's borders  (See RDS107 Health)
2,RDS10205,Control and care of the environment,Illustrative example(s),consumption patterns and natural resources 
2,RDS10205,Control and care of the environment,Illustrative example(s),ecosystem assessment and management 
2,RDS10205,Control and care of the environment,Illustrative example(s),environmental and resource evaluation 
2,RDS10205,Control and care of the environment,Illustrative example(s),"flora, fauna and biodiversity "
2,RDS10205,Control and care of the environment,Illustrative example(s),natural hazards 
2,RDS10205,Control and care of the environment,Illustrative example(s),rehabilitation of degraded environments 
2,RDS10205,Control and care of the environment,Illustrative example(s),remnant vegetation and protected conservation areas 
2,RDS10205,Control and care of the environment,All examples,consumption patterns and natural resources 
2,RDS10205,Control and care of the environment,All examples,ecosystem assessment and management 
2,RDS10205,Control and care of the environment,All examples,environmental and resource evaluation 
2,RDS10205,Control and care of the environment,All examples,"flora, fauna and biodiversity "
2,RDS10205,Control and care of the environment,All examples,natural hazards 
2,RDS10205,Control and care of the environment,All examples,rehabilitation of degraded environments 
2,RDS10205,Control and care of the environment,All examples,remnant vegetation and protected conservation areas 
2,RDS10299,"Environment protection, n.e.c.",All examples,advancement of knowledge in environment protection 
1,RDS103,Exploration and exploitation of space,Exclusion(s),scientific activities related to exploration and exploitation of space for defence purposes  (See RDS112 Defence)
2,RDS10301,Scientific exploration of space,Illustrative example(s),scientific exploration of space 
2,RDS10301,Scientific exploration of space,All examples,scientific exploration of space 
2,RDS10301,Scientific exploration of space,Exclusion(s),"construction of air terminal infrastructure  (See RDS104 Transport, telecommunication and other infrastructures (including buildings))"
2,RDS10302,Celestial objects and phenomena,All examples,celestial objects and phenomena 
2,RDS10303,Space launch systems,All examples,space launch systems 
2,RDS10304,Space laboratories and space travel,All examples,space laboratories and space travel 
2,RDS10305,Terraforming,All examples,terraforming 
2,RDS10399,"Exploration and exploitation of space, n.e.c.",All examples,advancement of knowledge in the exploration and exploitation of space 
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),conservation of energy and improving energy efficiency in transport  (See RDS10506 Energy conservation and efficiency)
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),conservation of historic buildings and structures and heritage aspects of urban and regional planning  (See RDS11007 Heritage (including Indigenous culture))
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),construction-related environmental health issues  (See RDS10703 Public health (except specific population health))
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),energy conservation and efficiency in construction activities  (See RDS10506 Energy conservation and efficiency)
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),manufacturing of materials used in construction  (See RDS10601 Industrial processes related to mineral resource)
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),manufacturing of transport equipment  (See RDS10607 Transport equipment)
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),pipeline distribution of water and waste handling services provided by local councils and governments or private and non-profit waste management businesses  (See RDS10202 Water provision and waste services)
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),pipeline transportation of energy products  (See RDS10505 Energy storage and distribution)
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),"prefabricated buildings manufacturing  (See RDS10699 Industrial production and technology, n.e.c.)"
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),"property services (e.g. property developers, real estate agents, alarm and surveillance services)  (See RDS11103 Management, marketing and productivity)"
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),"scientific activities related to research into pollution, except protection against harmful effects in town and country planning, and into environments affected by construction activities  (See RDS102 Environmental protection)"
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),transportation of forest products  (See RDS10801 Forestry)
1,RDS104,"Transport, telecommunication and other infrastructures (including buildings)",Exclusion(s),water distribution and waste handling services provided by local councils and governments or private and non-profit waste management businesses  (See RDS10202 Water provision and waste services)
2,RDS10401,Construction planning,Illustrative example(s),civil construction planning 
2,RDS10401,Construction planning,Illustrative example(s),commercial construction planning 
2,RDS10401,Construction planning,Illustrative example(s),regional planning 
2,RDS10401,Construction planning,Illustrative example(s),residential construction planning 
2,RDS10401,Construction planning,Illustrative example(s),urban planning 
2,RDS10401,Construction planning,All examples,civil construction planning 
2,RDS10401,Construction planning,All examples,commercial construction planning 
2,RDS10401,Construction planning,All examples,regional planning 
2,RDS10401,Construction planning,All examples,residential construction planning 
2,RDS10401,Construction planning,All examples,urban planning 
2,RDS10401,Construction planning,Exclusion(s),detailed architectural design  (See RDS10402 Construction design)
2,RDS10401,Construction planning,Exclusion(s),heritage aspects of urban and regional planning  (See RDS11007 Heritage (including Indigenous culture))
2,RDS10401,Construction planning,Exclusion(s),transport systems unrelated to construction planning  (See RDS10405 Transport systems)
2,RDS10402,Construction design,Illustrative example(s),civil construction design 
2,RDS10402,Construction design,Illustrative example(s),commercial construction design 
2,RDS10402,Construction design,Illustrative example(s),industrial construction design 
2,RDS10402,Construction design,Illustrative example(s),residential construction design 
2,RDS10402,Construction design,All examples,civil construction design 
2,RDS10402,Construction design,All examples,commercial construction design 
2,RDS10402,Construction design,All examples,industrial construction design 
2,RDS10402,Construction design,All examples,residential construction design 
2,RDS10402,Construction design,Exclusion(s),energy conservation and efficiency design other than design aimed at reducing the energy needs of finished buildings  (See RDS10506 Energy conservation and efficiency)
2,RDS10403,Construction materials performance,Illustrative example(s),cement and concrete materials 
2,RDS10403,Construction materials performance,Illustrative example(s),light weight materials 
2,RDS10403,Construction materials performance,Illustrative example(s),metals 
2,RDS10403,Construction materials performance,Illustrative example(s),polymeric materials 
2,RDS10403,Construction materials performance,Illustrative example(s),"stone, ceramics and clay materials "
2,RDS10403,Construction materials performance,Illustrative example(s),timber materials 
2,RDS10403,Construction materials performance,All examples,cement and concrete materials 
2,RDS10403,Construction materials performance,All examples,light weight materials 
2,RDS10403,Construction materials performance,All examples,metals 
2,RDS10403,Construction materials performance,All examples,polymeric materials 
2,RDS10403,Construction materials performance,All examples,"stone, ceramics and clay materials "
2,RDS10403,Construction materials performance,All examples,timber materials 
2,RDS10403,Construction materials performance,Exclusion(s),"manufacturing of base metal products (e.g. copper wire, steel rods) and fabricated metal products (e.g. aluminum frames, steel pipes, structural steel) used in construction  (See RDS10601 Industrial processes related to mineral resource)"
2,RDS10403,Construction materials performance,Exclusion(s),"manufacturing of ceramics, glass and glass products and industrial mineral products including clay, cement and concrete products used in construction  (See RDS10601 Industrial processes related to mineral resource)"
2,RDS10403,Construction materials performance,Exclusion(s),"manufacturing of industrial chemicals used in construction (e.g. paints, plastics)  (See RDS10605 Agricultural and industrial chemicals)"
2,RDS10404,Construction processes,Illustrative example(s),civil construction processes 
2,RDS10404,Construction processes,Illustrative example(s),commercial construction processes 
2,RDS10404,Construction processes,Illustrative example(s),industrial construction processes 
2,RDS10404,Construction processes,Illustrative example(s),residential construction processes 
2,RDS10404,Construction processes,All examples,civil construction processes 
2,RDS10404,Construction processes,All examples,commercial construction processes 
2,RDS10404,Construction processes,All examples,industrial construction processes 
2,RDS10404,Construction processes,All examples,residential construction processes 
2,RDS10404,Construction processes,Exclusion(s),energy conservation and efficiency in construction processes  (See RDS10506 Energy conservation and efficiency)
2,RDS10405,Transport systems,Illustrative example(s),"aerospace transport (including air freight, air safety, air terminal infrastructure and management) "
2,RDS10405,Transport systems,Illustrative example(s),ground transport 
2,RDS10405,Transport systems,Illustrative example(s),space transport 
2,RDS10405,Transport systems,Illustrative example(s),water transport 
2,RDS10405,Transport systems,All examples,"aerospace transport (including air freight, air safety, air terminal infrastructure and management) "
2,RDS10405,Transport systems,All examples,ground transport 
2,RDS10405,Transport systems,All examples,space transport 
2,RDS10405,Transport systems,All examples,water transport 
2,RDS10405,Transport systems,Exclusion(s),construction of road and rail infrastructure  (See RDS10404 Construction processes)
2,RDS10405,Transport systems,Exclusion(s),transportation of forest products  (See RDS10801 Forestry)
2,RDS10406,"Communication technologies, systems and services",Illustrative example(s),e-infrastructures 
2,RDS10406,"Communication technologies, systems and services",Illustrative example(s),green communication technologies 
2,RDS10406,"Communication technologies, systems and services",Illustrative example(s),internet protocols (IP) 
2,RDS10406,"Communication technologies, systems and services",Illustrative example(s),mobile technologies and communications 
2,RDS10406,"Communication technologies, systems and services",Illustrative example(s),network security 
2,RDS10406,"Communication technologies, systems and services",Illustrative example(s),network systems and services 
2,RDS10406,"Communication technologies, systems and services",Illustrative example(s),"satellite technologies, communications networks and services "
2,RDS10406,"Communication technologies, systems and services",Illustrative example(s),"wireless technologies, networks and services "
2,RDS10406,"Communication technologies, systems and services",All examples,e-infrastructures 
2,RDS10406,"Communication technologies, systems and services",All examples,green communication technologies 
2,RDS10406,"Communication technologies, systems and services",All examples,internet protocols (IP) 
2,RDS10406,"Communication technologies, systems and services",All examples,mobile technologies and communications 
2,RDS10406,"Communication technologies, systems and services",All examples,network security 
2,RDS10406,"Communication technologies, systems and services",All examples,network systems and services 
2,RDS10406,"Communication technologies, systems and services",All examples,"satellite technologies, communications networks and services "
2,RDS10406,"Communication technologies, systems and services",All examples,"wireless technologies, networks and services "
2,RDS10406,"Communication technologies, systems and services",Exclusion(s),"development and manufacturing of communication equipment  (See RDS10609 Computer, electronic, optical products and communication equipment)"
2,RDS10406,"Communication technologies, systems and services",Exclusion(s),radio and tv broadcasting  (See RDS11002 Media services)
2,RDS10407,Land and water management,Illustrative example(s),arctic land and water management 
2,RDS10407,Land and water management,Illustrative example(s),coastal and estuarine land and water management 
2,RDS10407,Land and water management,Illustrative example(s),"farmland, arable cropland and permanent cropland land and water management "
2,RDS10407,Land and water management,Illustrative example(s),forest and woodlands land and water management 
2,RDS10407,Land and water management,Illustrative example(s),mountain and high country land and water management 
2,RDS10407,Land and water management,Illustrative example(s),"sparseland, permanent grassland and arid zone land and water management "
2,RDS10407,Land and water management,Illustrative example(s),water allocation and quantification 
2,RDS10407,Land and water management,All examples,arctic land and water management 
2,RDS10407,Land and water management,All examples,coastal and estuarine land and water management 
2,RDS10407,Land and water management,All examples,"farmland, arable cropland and permanent cropland land and water management "
2,RDS10407,Land and water management,All examples,forest and woodlands land and water management 
2,RDS10407,Land and water management,All examples,mountain and high country land and water management 
2,RDS10407,Land and water management,All examples,"sparseland, permanent grassland and arid zone land and water management "
2,RDS10407,Land and water management,All examples,water allocation and quantification 
2,RDS10407,Land and water management,Exclusion(s),physical and chemical conditions of water  (See RDS10105 Water and hydrology)
2,RDS10407,Land and water management,Exclusion(s),soils not associated with water management  (See RDS10802 Soils)
2,RDS10499,"Transport, telecommunication and other infrastructures (including buildings), n.e.c.",All examples,"advancement of knowledge in transport, construction, telecommunication and other infrastructures activities "
1,RDS105,Energy (except prospecting),Exclusion(s),"characteristics, propagation, growing and harvesting of crops for use as biomass or conversion to biofuels  (See RDS10803 Crops)"
1,RDS105,Energy (except prospecting),Exclusion(s),design of buildings to minimise energy consumption in the finished building  (See RDS10402 Construction design)
1,RDS105,Energy (except prospecting),Exclusion(s),"manufacturing of processed products from energy mineral resources (e.g. lubricants, plastics, synthetic resins and paints)  (See RDS10605 Agricultural and industrial chemicals)"
1,RDS105,Energy (except prospecting),Exclusion(s),production or processing of non-energy mineral resources  (See RDS10601 Industrial processes related to mineral resource)
1,RDS105,Energy (except prospecting),Exclusion(s),scientific activities into vehicle and engine propulsion  (See RDS106 Industrial production and technology)
1,RDS105,Energy (except prospecting),Exclusion(s),"scientific activities related research into pollution, except protection against harmful effects in town and country planning, and into environments affected by energy (including mining) activities  (See RDS102 Environmental protection)"
1,RDS105,Energy (except prospecting),Exclusion(s),scientific activities related to prospecting energy  (See RDS10102 Energy resources exploration)
1,RDS105,Energy (except prospecting),Exclusion(s),water distribution and waste handling services provided by local councils and governments or private and non-profit waste management businesses  (See RDS10202 Water provision and waste services)
2,RDS10501,Mining and extraction of energy resources,Illustrative example(s),coal mining and extraction 
2,RDS10501,Mining and extraction of energy resources,Illustrative example(s),geothermal energy extraction 
2,RDS10501,Mining and extraction of energy resources,Illustrative example(s),oil and gas extraction 
2,RDS10501,Mining and extraction of energy resources,Illustrative example(s),oil shale and tar sands mining and extraction 
2,RDS10501,Mining and extraction of energy resources,Illustrative example(s),uranium mining and extraction 
2,RDS10501,Mining and extraction of energy resources,All examples,coal mining and extraction 
2,RDS10501,Mining and extraction of energy resources,All examples,geothermal energy extraction 
2,RDS10501,Mining and extraction of energy resources,All examples,oil and gas extraction 
2,RDS10501,Mining and extraction of energy resources,All examples,oil shale and tar sands mining and extraction 
2,RDS10501,Mining and extraction of energy resources,All examples,uranium mining and extraction 
2,RDS10501,Mining and extraction of energy resources,Exclusion(s),production or processing of non-energy mineral resources  (See RDS10601 Industrial processes related to mineral resource)
2,RDS10501,Mining and extraction of energy resources,Exclusion(s),"scientific activities related research into pollution, except protection against harmful effects in town and country planning, and into environments affected by mining activities  (See RDS102 Environmental protection)"
2,RDS10502,Preparation and production of energy sources,Illustrative example(s),conversion of carbon dioxide to fuels 
2,RDS10502,Preparation and production of energy sources,Illustrative example(s),hydrogen production from fossil fuels 
2,RDS10502,Preparation and production of energy sources,Illustrative example(s),hydrogen production from nuclear energy 
2,RDS10502,Preparation and production of energy sources,Illustrative example(s),hydrogen production from renewable energy 
2,RDS10502,Preparation and production of energy sources,Illustrative example(s),oil and gas refining 
2,RDS10502,Preparation and production of energy sources,Illustrative example(s),preparation of coal 
2,RDS10502,Preparation and production of energy sources,Illustrative example(s),preparation of oil shale and tar sands 
2,RDS10502,Preparation and production of energy sources,Illustrative example(s),preparation of uranium 
2,RDS10502,Preparation and production of energy sources,Illustrative example(s),production of biofuels (biomass) 
2,RDS10502,Preparation and production of energy sources,All examples,conversion of carbon dioxide to fuels 
2,RDS10502,Preparation and production of energy sources,All examples,hydrogen production from fossil fuels 
2,RDS10502,Preparation and production of energy sources,All examples,hydrogen production from nuclear energy 
2,RDS10502,Preparation and production of energy sources,All examples,hydrogen production from renewable energy 
2,RDS10502,Preparation and production of energy sources,All examples,oil and gas refining 
2,RDS10502,Preparation and production of energy sources,All examples,preparation of coal 
2,RDS10502,Preparation and production of energy sources,All examples,preparation of oil shale and tar sands 
2,RDS10502,Preparation and production of energy sources,All examples,preparation of uranium 
2,RDS10502,Preparation and production of energy sources,All examples,production of biofuels (biomass) 
2,RDS10502,Preparation and production of energy sources,Exclusion(s),"characteristics, propagation, growing and harvesting of crops for use as biomass or conversion to biofuels  (See RDS10803 Crops)"
2,RDS10502,Preparation and production of energy sources,Exclusion(s),processing of non-energy mineral resources  (See RDS106 Industrial production and technology)
2,RDS10503,Energy transformation,Illustrative example(s),fuel cells (except solid oxide) 
2,RDS10503,Energy transformation,Illustrative example(s),hydrogen-based energy systems (including internal hydrogen combustion engines) 
2,RDS10503,Energy transformation,Illustrative example(s),nuclear energy 
2,RDS10503,Energy transformation,Illustrative example(s),solid oxide fuel cells 
2,RDS10503,Energy transformation,Illustrative example(s),transformation of coal into electricity 
2,RDS10503,Energy transformation,Illustrative example(s),transformation of coal into gaseous fuels 
2,RDS10503,Energy transformation,Illustrative example(s),transformation of coal into liquid fuels 
2,RDS10503,Energy transformation,Illustrative example(s),transformation of gas into electricity 
2,RDS10503,Energy transformation,Illustrative example(s),transformation of gas into liquid fuels 
2,RDS10503,Energy transformation,All examples,fuel cells (except solid oxide) 
2,RDS10503,Energy transformation,All examples,hydrogen-based energy systems (including internal hydrogen combustion engines) 
2,RDS10503,Energy transformation,All examples,nuclear energy 
2,RDS10503,Energy transformation,All examples,solid oxide fuel cells 
2,RDS10503,Energy transformation,All examples,transformation of coal into electricity 
2,RDS10503,Energy transformation,All examples,transformation of coal into gaseous fuels 
2,RDS10503,Energy transformation,All examples,transformation of coal into liquid fuels 
2,RDS10503,Energy transformation,All examples,transformation of gas into electricity 
2,RDS10503,Energy transformation,All examples,transformation of gas into liquid fuels 
2,RDS10503,Energy transformation,Exclusion(s),engines for use in transport other than internal hydrogen combustion engines  (See RDS10607 Transport equipment)
2,RDS10503,Energy transformation,Exclusion(s),production or processing of non-energy mineral resources  (See RDS10601 Industrial processes related to mineral resource)
2,RDS10503,Energy transformation,Exclusion(s),"transformation of renewable energy resources into heat, steam or electricity  (See RDS10504 Renewable energy)"
2,RDS10504,Renewable energy,Illustrative example(s),biofuel (biomass) energy 
2,RDS10504,Renewable energy,Illustrative example(s),geothermal energy 
2,RDS10504,Renewable energy,Illustrative example(s),hydro-electric energy 
2,RDS10504,Renewable energy,Illustrative example(s),solar-photovoltaic energy 
2,RDS10504,Renewable energy,Illustrative example(s),"solar-thermal energy, for electrical energy "
2,RDS10504,Renewable energy,Illustrative example(s),"solar-thermal energy, for thermal energy "
2,RDS10504,Renewable energy,Illustrative example(s),tidal energy 
2,RDS10504,Renewable energy,Illustrative example(s),wave energy 
2,RDS10504,Renewable energy,Illustrative example(s),wind energy 
2,RDS10504,Renewable energy,All examples,biofuel (biomass) energy 
2,RDS10504,Renewable energy,All examples,geothermal energy 
2,RDS10504,Renewable energy,All examples,hydro-electric energy 
2,RDS10504,Renewable energy,All examples,solar-photovoltaic energy 
2,RDS10504,Renewable energy,All examples,"solar-thermal energy, for electrical energy "
2,RDS10504,Renewable energy,All examples,"solar-thermal energy, for thermal energy "
2,RDS10504,Renewable energy,All examples,tidal energy 
