Level,Code,Class title,Element Type Label,Exclusion Code,Element Description,
2,RDF101,Mathematics and statistics,Exclusion(s),,statistical mechanics associated with chemical processes (See RDF1040704 Statistical mechanics in chemistry),
2,RDF101,Mathematics and statistics,Exclusion(s),,statistical mechanics associated with chemistry (cheminformatics) (See RDF1040504 Cheminformatics and quantitative structure-activity relationships),
2,RDF101,Mathematics and statistics,Exclusion(s),,statistical physics (See RDF1030404 Thermodynamics and statistical physics),
3,RDF10101,Pure mathematics,Exclusion(s),,econometrics (See RDF5020105 Econometrics),
3,RDF10101,Pure mathematics,Exclusion(s),,physical combinatorics (See RDF103 Physical sciences),
3,RDF10101,Pure mathematics,Exclusion(s),,pure mathematics associated with computer and information sciences (See RDF102 Computer and information sciences),
4,RDF1010101,Algebra,Exclusion(s),,algebraic geometry (See RDF1010103 Algebraic and differential geometry),
4,RDF1010106,Combinatorics and discrete mathematics,Exclusion(s),,combinatorics associated with physical sciences (See RDF103 Physical sciences),
4,RDF1010107,Group theory and generalisations,Exclusion(s),,combinatorics associated with physical sciences (See RDF103 Physical sciences),
3,RDF10102,Applied mathematics,Exclusion(s),,"application of mathematical techniques to psychological testing (psychometrics) (See RDF5010116 Psychological methodology design and analysis, and psychometrics)",
3,RDF10102,Applied mathematics,Exclusion(s),,applied mathematics associated with bioinformatics (See RDF10208 Bioinformatics),
3,RDF10102,Applied mathematics,Exclusion(s),,applied mathematics associated with biological evolution (See RDF10605 Biological evolution),
3,RDF10102,Applied mathematics,Exclusion(s),,applied mathematics associated with computer and information sciences (See RDF102 Computer and information sciences),
3,RDF10102,Applied mathematics,Exclusion(s),,applied mathematics associated with criminology (See RDF50902 Criminology),
3,RDF10102,Applied mathematics,Exclusion(s),,applied mathematics associated with ecology (See RDF1060311 Ecological mathematical and statistical models),
3,RDF10102,Applied mathematics,Exclusion(s),,applied mathematics associated with economics (See RDF50201 Economics),
3,RDF10102,Applied mathematics,Exclusion(s),,"applied mathematics associated with electrical and electronic engineering (See RDF203 Electrical engineering, computer engineering, and information engineering)",
3,RDF10102,Applied mathematics,Exclusion(s),,applied mathematics associated with mechanical engineering (See RDF204 Mechanical engineering),
3,RDF10102,Applied mathematics,Exclusion(s),,"applied mathematics associated with medical and health sciences (See RDF30 Medical, health and life sciences)",
3,RDF10102,Applied mathematics,Exclusion(s),,applied mathematics associated with statistical physics (See RDF1030404 Thermodynamics and statistical physics),
3,RDF10102,Applied mathematics,Exclusion(s),,"applied mathematics curriculum, pedagogy and didactics (See RDF5030208 Mathematics and numeracy curriculum, pedagogy and didactics)",
3,RDF10102,Applied mathematics,Exclusion(s),,econometrics (See RDF5020105 Econometrics),
3,RDF10102,Applied mathematics,Exclusion(s),,geodesy (See RDF1050408 Geodesy),
3,RDF10102,Applied mathematics,Exclusion(s),,history and philosophy of mathematics (See RDF6030307 History and philosophy of science (including non-historical philosophy of science)),
3,RDF10102,Applied mathematics,Exclusion(s),,statistical mechanics associated with chemical processes (See RDF1040704 Statistical mechanics in chemistry),
4,RDF1010205,Computational fluid mechanics,Exclusion(s),,hydraulic engineering (See RDF2010108 Hydraulic engineering),
4,RDF1010207,"Calculus of variations, systems theory and control theory",Exclusion(s),,"control theory associated with electrical and electronic engineering (See RDF203 Electrical engineering, computer engineering, and information engineering)",
4,RDF1010207,"Calculus of variations, systems theory and control theory",Exclusion(s),,control theory associated with mechanical engineering (See RDF204 Mechanical engineering),
4,RDF1010213,Mathematical physics,Exclusion(s),,combinatorics other than physical combinatorics (See RDF1010106 Combinatorics and discrete mathematics),
4,RDF1010213,Mathematical physics,Exclusion(s),,development of statistical techniques (See RDF10103 Statistics),
4,RDF1010213,Mathematical physics,Exclusion(s),,statistical mechanics associated with chemical processes (See RDF1040704 Statistical mechanics in chemistry),
4,RDF1010213,Mathematical physics,Exclusion(s),,statistical physics (See RDF1030404 Thermodynamics and statistical physics),
3,RDF10103,Statistics,Exclusion(s),,"application of statistical techniques to psychological testing (psychometrics) (See RDF5010116 Psychological methodology design and analysis, and psychometrics)",
3,RDF10103,Statistics,Exclusion(s),,"applications of statistical techniques associated with medical, health and life sciences (See RDF30 Medical, health and life sciences)",
3,RDF10103,Statistics,Exclusion(s),,econometrics (See RDF5020105 Econometrics),
3,RDF10103,Statistics,Exclusion(s),,"econometrics, economic time series analysis and fields (See RDF5020105 Econometrics)",
3,RDF10103,Statistics,Exclusion(s),,quantitative methods in forestry (See RDF4010414 Quantitative methods in forestry),
3,RDF10103,Statistics,Exclusion(s),,statistical climatology (See RDF1050115 Statistical climatology),
3,RDF10103,Statistics,Exclusion(s),,statistical genetics (See RDF1060613 Statistical genetics),
3,RDF10103,Statistics,Exclusion(s),,statistical mechanics associated with chemical processes (See RDF1040704 Statistical mechanics in chemistry),
3,RDF10103,Statistics,Exclusion(s),,statistical mechanics associated with quantum physics (See RDF1030607 Statistical mechanics in quantum physics),
3,RDF10103,Statistics,Exclusion(s),,statistical physics (See RDF1030404 Thermodynamics and statistical physics),
3,RDF10103,Statistics,Exclusion(s),,statistics associated with bioinformatics (See RDF10208 Bioinformatics),
3,RDF10103,Statistics,Exclusion(s),,statistics associated with criminology (See RDF50902 Criminology),
4,RDF1010306,High dimensional data analysis,Exclusion(s),,statistical methods for high throughput data (See RDF1010311 Statistical methods for high throughput data),
4,RDF1010307,Computational methods in statistics,Exclusion(s),,statistical methods for high throughput data (See RDF1010311 Statistical methods for high throughput data),
4,RDF1010308,Actuarial science and mathematical finance,Exclusion(s),,applications of actuarial science and mathematical finance in economics (See RDF5020112 Financial economics),
4,RDF1010309,Spatial statistics,Exclusion(s),,statistical climatology (See RDF1050115 Statistical climatology),
4,RDF1010309,Spatial statistics,Exclusion(s),,statistical physics (See RDF1030404 Thermodynamics and statistical physics),
4,RDF1010311,Statistical methods for high throughput data,Exclusion(s),,probability theory (See RDF1010312 Probability theory),
2,RDF102,Computer and information sciences,Exclusion(s),,artificial intelligence engineering (See RDF2030302 Artificial intelligence engineering),
2,RDF102,Computer and information sciences,Exclusion(s),,automotive mechatronics (See RDF2040203 Automotive mechatronics),
2,RDF102,Computer and information sciences,Exclusion(s),,"business information management (including records, knowledge, information management and intelligence) (See RDF5020501 Management information systems)",
2,RDF102,Computer and information sciences,Exclusion(s),,computer and information sciences associated with languages and literature (See RDF602 Languages and literature),
2,RDF102,Computer and information sciences,Exclusion(s),,computational physiology (See RDF3010603 Computational physiology),
2,RDF102,Computer and information sciences,Exclusion(s),,computer engineering (See RDF20301 Computer engineering),
2,RDF102,Computer and information sciences,Exclusion(s),,computer gaming and animation (See RDF5080204 Computer gaming and animation studies),
2,RDF102,Computer and information sciences,Exclusion(s),,computer hardware (See RDF20301 Computer engineering),
2,RDF102,Computer and information sciences,Exclusion(s),,computer-aided design and computer-aided manufacturing systems (See RDF2040301 Computer-aided design (CAD) and computer-aided manufacturing (CAM) systems),
2,RDF102,Computer and information sciences,Exclusion(s),,development of communication and network technologies (See RDF20302 Communications and networks technologies),
2,RDF102,Computer and information sciences,Exclusion(s),,digital humanities other than digital arts (See RDF6059901 Digital humanities),
2,RDF102,Computer and information sciences,Exclusion(s),,electronic engineering (See RDF20306 Electronics),
2,RDF102,Computer and information sciences,Exclusion(s),,health information systems (See RDF3030403 Health information systems (including surveillance)),
2,RDF102,Computer and information sciences,Exclusion(s),,history and philosophy of computer and information sciences (See RDF6030307 History and philosophy of science (including non-historical philosophy of science)),
2,RDF102,Computer and information sciences,Exclusion(s),,mechatronics other than for automotive applications (See RDF2040307 Mechatronics (except automotive mechatronics)),
2,RDF102,Computer and information sciences,Exclusion(s),,neurorobotics (See RDF3010420 Neurorobotics),
2,RDF102,Computer and information sciences,Exclusion(s),,operational research (See RDF20203 Operational research),
2,RDF102,Computer and information sciences,Exclusion(s),,social impacts of artificial intelligence (AI) (See RDF5040113 Social impacts of artificial intelligence),
2,RDF102,Computer and information sciences,Exclusion(s),,statistical mechanics associated with chemistry (cheminformatics) (See RDF1040504 Cheminformatics and quantitative structure-activity relationships),
3,RDF10201,Artificial intelligence (AI),Exclusion(s),,artificial intelligence (AI) associated with algorithms and data structures (See RDF1020202 Algorithms and data structures),
3,RDF10201,Artificial intelligence (AI),Exclusion(s),,artificial intelligence engineering (See RDF2030302 Artificial intelligence engineering),
3,RDF10201,Artificial intelligence (AI),Exclusion(s),,computational neurosciences (See RDF1020803 Computational neurosciences),
3,RDF10201,Artificial intelligence (AI),Exclusion(s),,knowledge translation and implementation science in health (See RDF3030408 Knowledge translation and implementation science in health),
3,RDF10201,Artificial intelligence (AI),Exclusion(s),,neurorobotics (See RDF3010420 Neurorobotics),
3,RDF10201,Artificial intelligence (AI),Exclusion(s),,operational research (See RDF20203 Operational research),
4,RDF1020101,Adaptive agents,Exclusion(s),,neurorobotics (See RDF3010420 Neurorobotics),
4,RDF1020102,Intelligent robotics,Exclusion(s),,robotics associated with automotive engineering (See RDF20402 Automotive engineering),
4,RDF1020102,Intelligent robotics,Exclusion(s),,robotics associated with biomedical engineering (See RDF2070108 Biomedical robotics),
4,RDF1020102,Intelligent robotics,Exclusion(s),,robotics associated with manufacturing engineering other than automotive (See RDF20403 Manufacturing engineering),
4,RDF1020104,Machine learning,Exclusion(s),,machine learning systems (See RDF2030111 Machine learning systems),
4,RDF1020106,Knowledge representation,Exclusion(s),,knowledge translation and implementation science in health (See RDF3030408 Knowledge translation and implementation science in health),
4,RDF1020115,Logic programming in artificial intelligence,Exclusion(s),,genetic programming (See RDF1020808 Genetic programming),
4,RDF1020115,Logic programming in artificial intelligence,Exclusion(s),,programming applied in operational research (See RDF2020301 Programming in operational research (including linear and nonlinear programming)),
3,RDF10202,Theoretical computer science and computational mathematics,Exclusion(s),,operational research (See RDF20203 Operational research),
4,RDF1020204,Coding and information theory,Exclusion(s),,coding and information theory applied to communications and networks technologies (See RDF2030202 Coding and information theory applied to communications and networks technologies),
4,RDF1020205,Computational logic theory,Exclusion(s),,distributed programming languages (See RDF1020210 Distributed programming languages),
4,RDF1020205,Computational logic theory,Exclusion(s),,genetic programming (See RDF1020808 Genetic programming),
4,RDF1020205,Computational logic theory,Exclusion(s),,logic programming in artificial intelligence (See RDF1020115 Logic programming in artificial intelligence),
4,RDF1020205,Computational logic theory,Exclusion(s),,programming applied in operational research (See RDF2020301 Programming in operational research (including linear and nonlinear programming)),
4,RDF1020208,Numerical computation,Exclusion(s),,computational linguistics (See RDF6020202 Computational linguistics),
4,RDF1020210,Distributed programming languages,Exclusion(s),,distributed algorithms (See RDF1020312 Distributed algorithms),
4,RDF1020210,Distributed programming languages,Exclusion(s),,genetic programming (See RDF1020808 Genetic programming),
4,RDF1020210,Distributed programming languages,Exclusion(s),,programming applied in operational research (See RDF2020301 Programming in operational research (including linear and nonlinear programming)),
3,RDF10203,Programming languages and software engineering,Exclusion(s),,distributed programming languages (See RDF1020210 Distributed programming languages),
3,RDF10203,Programming languages and software engineering,Exclusion(s),,expert systems technologies in artificial intelligence (AI) (See RDF1020116 Expert systems technologies in artificial intelligence),
3,RDF10203,Programming languages and software engineering,Exclusion(s),,genetic programming (See RDF1020808 Genetic programming),
3,RDF10203,Programming languages and software engineering,Exclusion(s),,logic programming in artificial intelligence (AI) (See RDF1020115 Logic programming in artificial intelligence),
3,RDF10203,Programming languages and software engineering,Exclusion(s),,mathematical software (See RDF1020207 Mathematical software),
3,RDF10203,Programming languages and software engineering,Exclusion(s),,operational research (See RDF20203 Operational research),
4,RDF1020304,Programming languages,Exclusion(s),,distributed programming languages (See RDF1020210 Distributed programming languages),
4,RDF1020304,Programming languages,Exclusion(s),,genetic programming (See RDF1020808 Genetic programming),
4,RDF1020304,Programming languages,Exclusion(s),,logic programming in artificial intelligence (See RDF1020115 Logic programming in artificial intelligence),
4,RDF1020304,Programming languages,Exclusion(s),,programming applied in operational research (See RDF2020301 Programming in operational research (including linear and nonlinear programming)),
3,RDF10204,Computing systems,Exclusion(s),,computer systems engineering (See RDF2030104 Computer systems engineering),
4,RDF1020401,Distributed systems,Exclusion(s),,distributed algorithms (See RDF1020312 Distributed algorithms),
4,RDF1020401,Distributed systems,Exclusion(s),,distributed systems organizing principles (See RDF1020306 Distributed systems organizing principles),
4,RDF1020404,Quantum computing,Exclusion(s),,cryogenic control electronics for quantum processors (See RDF2030624 Cryogenic control electronics for quantum processors),
4,RDF1020404,Quantum computing,Exclusion(s),,quantum electronics (See RDF2030613 Quantum electronics),
4,RDF1020404,Quantum computing,Exclusion(s),,"quantum information, computation associated with communications (See RDF1030604 Quantum information, computation and communication)",
4,RDF1020404,Quantum computing,Exclusion(s),,quantum physics (See RDF10306 Quantum physics),
3,RDF10205,Human-centered computing,Exclusion(s),,digital humanities other than digital arts (See RDF6059901 Digital humanities),
3,RDF10206,Information Systems,Exclusion(s),,health information systems (See RDF3030403 Health information systems (including surveillance)),
3,RDF10206,Information Systems,Exclusion(s),,library science and information studies (See RDF10207 Library science and information studies),
3,RDF10206,Information Systems,Exclusion(s),,records and information management for businesses (See RDF5020501 Management information systems),
4,RDF1020603,Web technologies (except Web search),Exclusion(s),,web (internet) search (See RDF1020703 Web search),
4,RDF1020610,Information privacy,Exclusion(s),,privacy-enhancing technologies (See RDF1020611 Privacy-enhancing technologies),
3,RDF10207,Library science and information studies,Exclusion(s),,digital humanities other than digital arts (See RDF6059901 Digital humanities),
4,RDF1020704,"Scientometrics, bibliometrics, webometrics and other quantitative aspects of information (Informetrics)",Exclusion(s),,applications of informetrics to social aspects of artificial intelligence (See RDF5040113 Social impacts of artificial intelligence),
4,RDF1020706,Records and information management (except business records and information management),Exclusion(s),,information systems (See RDF10206 Information Systems),
4,RDF1020706,Records and information management (except business records and information management),Exclusion(s),,records and information management for businesses (See RDF5020501 Management information systems),
3,RDF10208,Bioinformatics,Exclusion(s),,applications of computational biology (bioinformatics) in cell biology (See RDF1060208 Computational cell biology),
3,RDF10208,Bioinformatics,Exclusion(s),,operational research (See RDF20203 Operational research),
4,RDF1020808,Genetic programming,Exclusion(s),,programming applied in operational research (See RDF2020301 Programming in operational research (including linear and nonlinear programming)),
3,RDF10299,Other computer and information sciences,Exclusion(s),,digital humanities other than digital arts (See RDF6059901 Digital humanities),
2,RDF103,Physical sciences,Exclusion(s),,applications of physical sciences in geophysics (See RDF10504 Geophysics),
2,RDF103,Physical sciences,Exclusion(s),,cloud physics (See RDF1050104 Cloud physics),
2,RDF103,Physical sciences,Exclusion(s),,cyber-physical systems (See RDF2030212 Cyber-physical systems),
2,RDF103,Physical sciences,Exclusion(s),,"electrical engineering, electronic engineering, and computer and information engineering (See RDF203 Electrical engineering, computer engineering, and information engineering)",
2,RDF103,Physical sciences,Exclusion(s),,engineering and technological aspects of physical sciences (See RDF20-21 Engineering and technology),
2,RDF103,Physical sciences,Exclusion(s),,geophysics or physical geography (See RDF10504 Geophysics),
2,RDF103,Physical sciences,Exclusion(s),,history and philosophy of physical sciences (See RDF6030307 History and philosophy of science (including non-historical philosophy of science)),
2,RDF103,Physical sciences,Exclusion(s),,human biophysics (See RDF1060209 Human biophysics),
2,RDF103,Physical sciences,Exclusion(s),,mathematical aspects of physics (See RDF1010213 Mathematical physics),
2,RDF103,Physical sciences,Exclusion(s),,metaphysics (See RDF6030107 Metaphysics),
2,RDF103,Physical sciences,Exclusion(s),,photonics associated with electro-optical engineering (See RDF2030510 Photonics and electro-optical engineering),
2,RDF103,Physical sciences,Exclusion(s),,physical anthropology (See RDF5090102 Biological (physical) anthropology),
2,RDF103,Physical sciences,Exclusion(s),,physical chemistry (See RDF10406 Physical chemistry (including structural)),
2,RDF103,Physical sciences,Exclusion(s),,"physical ergonomics (See RDF2020102 Physical, environmental and cognitive ergonomics)",
2,RDF103,Physical sciences,Exclusion(s),,physical sciences associated with atmospheric sciences (See RDF10501 Atmospheric sciences),
2,RDF103,Physical sciences,Exclusion(s),,physical sciences associated with soil sciences (See RDF10511 Soil sciences),
2,RDF103,Physical sciences,Exclusion(s),,physical therapy (See RDF3030302 Physical therapy),
2,RDF103,Physical sciences,Exclusion(s),,planetary geology (See RDF1050302 Planetary geology),
3,RDF10301,Astronomical and space sciences,Exclusion(s),,aerospace engineering (See RDF20401 Aerospace engineering),
3,RDF10301,Astronomical and space sciences,Exclusion(s),,"applications of astronomical and space sciences satellite in space vehicle design and testing (See RDF2040108 Satellites, space vehicles and missiles design and testing)",
3,RDF10301,Astronomical and space sciences,Exclusion(s),,astronomical and space sciences associated with atmospheric sciences (See RDF10501 Atmospheric sciences),
3,RDF10301,Astronomical and space sciences,Exclusion(s),,communications and network technologies (See RDF20302 Communications and networks technologies),
3,RDF10301,Astronomical and space sciences,Exclusion(s),,photogrammetry and remote sensing (See RDF2080204 Remote sensing in geomatics and photogrammetry),
3,RDF10301,Astronomical and space sciences,Exclusion(s),,planetary geology (See RDF1050302 Planetary geology),
3,RDF10301,Astronomical and space sciences,Exclusion(s),,quantum physics (See RDF10306 Quantum physics),
3,RDF10301,Astronomical and space sciences,Exclusion(s),,string theory (See RDF1030207 Particle physics theory (including aspects of field theory and string theory)),
4,RDF1030108,Planetary science (except planetary geology),Exclusion(s),,planetary geology (See RDF1050302 Planetary geology),
4,RDF1030208,High-energy astrophysics and cosmic rays,Exclusion(s),,dark energy (See RDF1030112 Dark energy),
4,RDF1030208,High-energy astrophysics and cosmic rays,Exclusion(s),,theoretical and computational astrophysics (See RDF1030113 Theoretical and computational astrophysics),
3,RDF10303,"Atomic, molecular, and optical physics",Exclusion(s),,"applications of atomic, molecular and optical physics to quantum optics (including atom optics) (See RDF10306 Quantum physics)",
3,RDF10303,"Atomic, molecular, and optical physics",Exclusion(s),,macromolecular and materials chemistry (See RDF10404 Macromolecular and materials chemistry),
3,RDF10303,"Atomic, molecular, and optical physics",Exclusion(s),,nanophotonics (See RDF2110110 Nanophotonics),
3,RDF10303,"Atomic, molecular, and optical physics",Exclusion(s),,optical communication networks and systems (See RDF2030215 Optical networks),
3,RDF10303,"Atomic, molecular, and optical physics",Exclusion(s),,photonics associated with electro-optical engineering (See RDF2030510 Photonics and electro-optical engineering),
3,RDF10303,"Atomic, molecular, and optical physics",Exclusion(s),,statistical mechanics associated with quantum physics (See RDF1030607 Statistical mechanics in quantum physics),
3,RDF10303,"Atomic, molecular, and optical physics",Exclusion(s),,subatomic physics (See RDF10302 Subatomic physics),
4,RDF1030308,Quantum optics,Exclusion(s),,quantum physics (See RDF10306 Quantum physics),
3,RDF10304,Classical physics,Exclusion(s),,mathematical aspects of classical physics (See RDF1010213 Mathematical physics),
3,RDF10305,Condensed matter physics,Exclusion(s),,applications of condensed matter physics in biomedical engineering (See RDF20701 Medical and biomedical engineering),
3,RDF10305,Condensed matter physics,Exclusion(s),,applications of condensed matter physics in materials engineering (See RDF20601 Materials engineering),
3,RDF10305,Condensed matter physics,Exclusion(s),,condensed matter physics associated with inorganic chemistry (See RDF10402 Inorganic chemistry),
3,RDF10305,Condensed matter physics,Exclusion(s),,nanotechnology (including nanoscale characterisation) (See RDF21101 Nano-technology),
4,RDF1030507,Superconductivity,Exclusion(s),,compound semiconductors (See RDF2060103 Compound semiconductors),
4,RDF1030507,Superconductivity,Exclusion(s),,electronic and magnetic properties of condensed matter associated with supraconductivity (See RDF1030504 Electronic and magnetic properties of condensed matter and supraconductivity),
4,RDF1030507,Superconductivity,Exclusion(s),,elemental semiconductors (See RDF2060104 Elemental semiconductors),
4,RDF1030507,Superconductivity,Exclusion(s),,organic semiconductors (See RDF2060108 Organic semiconductors),
3,RDF10306,Quantum physics,Exclusion(s),,applications of quantum physics in communications technologies (See RDF20302 Communications and networks technologies),
3,RDF10306,Quantum physics,Exclusion(s),,lasers associated with quantum electronics (See RDF1030303 Lasers and quantum electronics),
3,RDF10306,Quantum physics,Exclusion(s),,mathematical aspects of quantum physics (See RDF1010213 Mathematical physics),
3,RDF10306,Quantum physics,Exclusion(s),,quantum chemistry (See RDF1040702 Quantum chemistry),
4,RDF1030603,General relativity and gravitational waves in quantum physics,Exclusion(s),,general relativity and gravitational waves in astronomical and space sciences (See RDF1030106 General relativity and gravitational waves in astronomical and space sciences),
2,RDF104,Chemical sciences,Exclusion(s),,applications of chemical sciences in biochemistry (See RDF10601 Biochemistry),
2,RDF104,Chemical sciences,Exclusion(s),,applications of chemical sciences in food chemistry (See RDF4040201 Food chemistry (including fermentation)),
2,RDF104,Chemical sciences,Exclusion(s),,applications of chemical sciences in mechanical engineering (See RDF204 Mechanical engineering),
2,RDF104,Chemical sciences,Exclusion(s),,applications of chemical sciences in mineralogy and crystallography (See RDF1050307 Mineralogy and crystallography (except soil mineralogy and chemicals aspects of crystallography)),
2,RDF104,Chemical sciences,Exclusion(s),,applications of chemical sciences in soil chemistry (See RDF10511 Soil sciences),
2,RDF104,Chemical sciences,Exclusion(s),,applications of chemical sciences in veterinary pharmacology (See RDF4030109 Veterinary pharmacology),
2,RDF104,Chemical sciences,Exclusion(s),,astrochemistry (See RDF1030111 Astrochemistry),
2,RDF104,Chemical sciences,Exclusion(s),,biochemistry other than biomolecular chemistry or medical biochemistry (See RDF10601 Biochemistry),
2,RDF104,Chemical sciences,Exclusion(s),,"biological and chemical aspects of neurosciences (See RDF10611 Neurosciences, biological and chemical aspects)",
2,RDF104,Chemical sciences,Exclusion(s),,chemical and biochemical engineering (See RDF205 Chemical engineering),
2,RDF104,Chemical sciences,Exclusion(s),,chemical sciences associated with atmospheric sciences (See RDF10501 Atmospheric sciences),
2,RDF104,Chemical sciences,Exclusion(s),,chemical sciences associated with criminology (See RDF50902 Criminology),
2,RDF104,Chemical sciences,Exclusion(s),,chemical sciences associated with industrial biotechnology (See RDF210 Industrial biotechnology),
2,RDF104,Chemical sciences,Exclusion(s),,chemical sciences associated with medical and biomedical engineering (See RDF207 Medical and biomedical engineering),
2,RDF104,Chemical sciences,Exclusion(s),,"chemical sciences associated with nanotechnology, except nanochemistry (See RDF21101 Nano-technology)",
2,RDF104,Chemical sciences,Exclusion(s),,crop and pasture biochemistry (See RDF4010203 Crop and pasture biochemistry and physiology),
2,RDF104,Chemical sciences,Exclusion(s),,geochemistry (See RDF10502 Geochemistry),
2,RDF104,Chemical sciences,Exclusion(s),,history and philosophy of chemical sciences (See RDF6030307 History and philosophy of science (including non-historical philosophy of science)),
2,RDF104,Chemical sciences,Exclusion(s),,immunochemistry (See RDF3010105 Humoural immunology and immunochemistry),
2,RDF104,Chemical sciences,Exclusion(s),,mineralogy and crystallography (See RDF1050307 Mineralogy and crystallography (except soil mineralogy and chemicals aspects of crystallography)),
2,RDF104,Chemical sciences,Exclusion(s),,pharmacology and pharmaceutical sciences for human use (including toxicology) (See RDF30105 Pharmacology and pharmaceutical sciences (except clinical aspects)),
2,RDF104,Chemical sciences,Exclusion(s),,soil biogeochemistry and microbiology (See RDF1051106 Soil biogeochemistry and microbiology),
4,RDF1040105,Instrumental methods (except immunological and bioassay methods),Exclusion(s),,immunological and bioassay methods (See RDF1040104 Immunological and bioassay methods),
4,RDF1040105,Instrumental methods (except immunological and bioassay methods),Exclusion(s),,instrumental methods in atmospheric sciences (See RDF1050107 Atmospheric measurement techniques),
4,RDF1040108,Environmental chemistry (except atmospheric chemistry),Exclusion(s),,astrochemistry (See RDF1030111 Astrochemistry),
4,RDF1040108,Environmental chemistry (except atmospheric chemistry),Exclusion(s),,atmospheric chemistry (See RDF1050101 Atmospheric chemistry),
3,RDF10402,Inorganic chemistry,Exclusion(s),,applications of inorganic chemistry in environmental chemistry other than atmospheric chemistry (See RDF1040108 Environmental chemistry (except atmospheric chemistry)),
3,RDF10402,Inorganic chemistry,Exclusion(s),,applications of inorganic chemistry in industrial chemistry (See RDF1049902 Industrial chemistry),
3,RDF10402,Inorganic chemistry,Exclusion(s),,applications of inorganic chemistry in organometallic chemistry (See RDF1040207 Organometallic chemistry),
3,RDF10402,Inorganic chemistry,Exclusion(s),,mineralogy and crystallography (See RDF1050307 Mineralogy and crystallography (except soil mineralogy and chemicals aspects of crystallography)),
3,RDF10403,Organic chemistry,Exclusion(s),,applications of inorganic chemistry in environmental chemistry other than atmospheric chemistry (See RDF1040108 Environmental chemistry (except atmospheric chemistry)),
3,RDF10403,Organic chemistry,Exclusion(s),,applications of macromolecular and materials chemistry in food chemistry (See RDF4040201 Food chemistry (including fermentation)),
3,RDF10403,Organic chemistry,Exclusion(s),,applications of organic chemistry in industrial chemistry (See RDF1049902 Industrial chemistry),
3,RDF10403,Organic chemistry,Exclusion(s),,applications of organic chemistry in organometallic chemistry (See RDF1040207 Organometallic chemistry),
3,RDF10403,Organic chemistry,Exclusion(s),,immunological and bioassay methods (See RDF1040104 Immunological and bioassay methods),
3,RDF10403,Organic chemistry,Exclusion(s),,pharmacology and pharmaceutical sciences for human use (including toxicology) (See RDF30105 Pharmacology and pharmaceutical sciences (except clinical aspects)),
3,RDF10403,Organic chemistry,Exclusion(s),,pharmacology for animal use (See RDF4030109 Veterinary pharmacology),
3,RDF10404,Macromolecular and materials chemistry,Exclusion(s),,applications of macromolecular and materials chemistry in biochemistry (See RDF10601 Biochemistry),
3,RDF10404,Macromolecular and materials chemistry,Exclusion(s),,applications of macromolecular and materials chemistry in medicinal and biomolecular chemistry (See RDF10405 Biomolecular and medicinal chemistry),
3,RDF10404,Macromolecular and materials chemistry,Exclusion(s),,macromolecular and materials chemistry associated with clinical sciences (See RDF30202 Clinical sciences),
3,RDF10404,Macromolecular and materials chemistry,Exclusion(s),,"macromolecular and materials chemistry associated with nanotechnology, except nanochemistry (See RDF21101 Nano-technology)",
4,RDF1040401,Characterization of materials,Exclusion(s),,materials engineering (See RDF20601 Materials engineering),
